Code;#healthy;#guess_no_corona;#guess_corona;#sick_corona;#recovered;#recovered_confirmed;#Total_Reports
4310;78;0;2;0;8;0;88
1595;237;7;9;0;20;0;273
4102;25;3;0;0;4;0;32
4051;52;2;2;0;4;0;60
1410;1242;40;82;3;55;0;1422
1200;2378;156;232;23;73;0;2862
8752;5;0;0;0;0;0;5
7270;16;0;0;0;0;0;16
2338;235;8;0;0;0;0;243
6003;35;0;0;0;0;0;35
2000;389;10;13;0;11;0;423
6370;4;0;0;0;2;0;6
6390;16;0;0;0;4;0;20
8640;41;2;0;2;4;0;49
8260;1;0;0;0;0;0;1
2540;45;0;0;0;0;0;45
6405;23;0;0;0;4;0;27
8553;3;0;0;0;0;0;3
6500;65;0;0;0;0;0;65
1000;8327;282;689;106;391;4;9799
1868;719;19;101;18;56;0;913
6300;12;0;8;0;0;0;20
8000;602;10;23;0;53;4;692
